Категория: Все категории

Неделя,Биткоин: (Россия)
2019-12-15,12
2019-12-22,11
2019-12-29,12
2020-01-05,14
2020-01-12,14
2020-01-19,11
2020-01-26,12
2020-02-02,12
2020-02-09,13
2020-02-16,11
2020-02-23,12
2020-03-01,10
2020-03-08,21
2020-03-15,23
2020-03-22,17
2020-03-29,14
2020-04-05,11
2020-04-12,10
2020-04-19,11
2020-04-26,14
2020-05-03,15
2020-05-10,15
2020-05-17,13
2020-05-24,12
2020-05-31,11
2020-06-07,10
2020-06-14,9
2020-06-21,9
2020-06-28,9
2020-07-05,9
2020-07-12,9
2020-07-19,9
2020-07-26,16
2020-08-02,15
2020-08-09,12
2020-08-16,12
2020-08-23,11
2020-08-30,11
2020-09-06,10
2020-09-13,9
2020-09-20,10
2020-09-27,10
2020-10-04,9
2020-10-11,10
2020-10-18,12
2020-10-25,14
2020-11-01,17
2020-11-08,15
2020-11-15,21
2020-11-22,22
2020-11-29,23
2020-12-06,17
2020-12-13,26
2020-12-20,24
2020-12-27,36
2021-01-03,77
2021-01-10,65
2021-01-17,34
2021-01-24,35
2021-01-31,31
2021-02-07,59
2021-02-14,63
2021-02-21,80
2021-02-28,44
2021-03-07,48
2021-03-14,55
2021-03-21,53
2021-03-28,43
2021-04-04,40
2021-04-11,48
2021-04-18,62
2021-04-25,53
2021-05-02,45
2021-05-09,47
2021-05-16,100
2021-05-23,80
2021-05-30,86
2021-06-06,64
2021-06-13,47
2021-06-20,51
2021-06-27,39
2021-07-04,31
2021-07-11,28
2021-07-18,36
2021-07-25,38
2021-08-01,34
2021-08-08,38
2021-08-15,31
2021-08-22,33
2021-08-29,27
2021-09-05,36
2021-09-12,30
2021-09-19,34
2021-09-26,34
2021-10-03,35
2021-10-10,32
2021-10-17,37
2021-10-24,33
2021-10-31,29
2021-11-07,31
2021-11-14,33
2021-11-21,30
2021-11-28,33
2021-12-05,37
2021-12-12,33
2021-12-19,30
2021-12-26,31
2022-01-02,45
2022-01-09,40
2022-01-16,46
2022-01-23,65
2022-01-30,40
2022-02-06,37
2022-02-13,31
2022-02-20,57
2022-02-27,65
2022-03-06,53
2022-03-13,38
2022-03-20,28
2022-03-27,35
2022-04-03,27
2022-04-10,24
2022-04-17,22
2022-04-24,22
2022-05-01,27
2022-05-08,59
2022-05-15,35
2022-05-22,33
2022-05-29,24
2022-06-05,25
2022-06-12,64
2022-06-19,47
2022-06-26,33
2022-07-03,33
2022-07-10,29
2022-07-17,31
2022-07-24,23
2022-07-31,25
2022-08-07,24
2022-08-14,22
2022-08-21,22
2022-08-28,21
2022-09-04,22
2022-09-11,22
2022-09-18,22
2022-09-25,20
2022-10-02,18
2022-10-09,17
2022-10-16,15
2022-10-23,17
2022-10-30,18
2022-11-06,25
2022-11-13,19
2022-11-20,18
2022-11-27,17
2022-12-04,16
2022-12-11,18
2022-12-18,16
2022-12-25,15
2023-01-01,17
2023-01-08,21
2023-01-15,23
2023-01-22,22
2023-01-29,22
2023-02-05,19
2023-02-12,20
2023-02-19,20
2023-02-26,17
2023-03-05,21
2023-03-12,26
2023-03-19,24
2023-03-26,21
2023-04-02,21
2023-04-09,24
2023-04-16,21
2023-04-23,21
2023-04-30,19
2023-05-07,20
2023-05-14,21
2023-05-21,17
2023-05-28,17
2023-06-04,17
2023-06-11,17
2023-06-18,22
2023-06-25,19
2023-07-02,20
2023-07-09,17
2023-07-16,16
2023-07-23,16
2023-07-30,15
2023-08-06,16
2023-08-13,21
2023-08-20,18
2023-08-27,18
2023-09-03,15
2023-09-10,15
2023-09-17,14
2023-09-24,14
2023-10-01,15
2023-10-08,14
2023-10-15,16
2023-10-22,21
2023-10-29,16
2023-11-05,18
2023-11-12,17
2023-11-19,17
2023-11-26,16
2023-12-03,24
2023-12-10,19
2023-12-17,18
2023-12-24,18
2023-12-31,21
2024-01-07,30
2024-01-14,21
2024-01-21,22
2024-01-28,18
2024-02-04,18
2024-02-11,23
2024-02-18,17
2024-02-25,34
2024-03-03,38
2024-03-10,35
2024-03-17,30
2024-03-24,25
2024-03-31,26
2024-04-07,27
2024-04-14,29
2024-04-21,26
2024-04-28,27
2024-05-05,20
2024-05-12,20
2024-05-19,23
2024-05-26,23
2024-06-02,26
2024-06-09,24
2024-06-16,18
2024-06-23,18
2024-06-30,18
2024-07-07,16
2024-07-14,17
2024-07-21,17
2024-07-28,16
2024-08-04,27
2024-08-11,15
2024-08-18,13
2024-08-25,15
2024-09-01,14
2024-09-08,12
2024-09-15,13
2024-09-22,16
2024-09-29,14
2024-10-06,14
2024-10-13,12
2024-10-20,10
2024-10-27,15
2024-11-03,22
2024-11-10,43
2024-11-17,31
2024-11-24,27
2024-12-01,31
2024-12-08,21
2024-12-15,22
